All-Genes,Genes in same transcription unit,Accession-1,Left-End-Position
Rv1889c,Rv1889c,Rv1889c,2138661
Rv1890c,Rv1890c,Rv1890c,2139076
Rv1891,Rv1893 // Rv1892 // Rv1891,Rv1891,2139741
Rv1892,Rv1893 // Rv1892 // Rv1891,Rv1892,2140165
Rv1893,Rv1893 // Rv1892 // Rv1891,Rv1893,2140486
Rv1894c,Rv1894c,Rv1894c,2140739
Rv1895,Rv1895,Rv1895,2142521
Rv1896c,dtd // Rv1896c,Rv1896c,2143535
dtd,dtd // Rv1896c,Rv1897c,2144451
Rv1898,Rv1898,Rv1898,2144940
lppD,lipJ // lppD,Rv1899c,2145214
lipJ,lipJ // lppD,Rv1900c,2146245
cinA,cinA,Rv1901,2147662
nanT,nanT,Rv1902c,2149006
Rv1903,Rv1903,Rv1903,2150364
Rv1904,Rv1904,Rv1904,2150954
aao,Rv1906c // aao,Rv1905c,2151433
Rv1906c,Rv1906c // aao,Rv1906c,2152425
Rv1907c,furA // katG // Rv1907c,Rv1907c,2153235
katG,furA // katG // Rv1907c,Rv1908c,2153889
furA,furA // katG // Rv1907c,Rv1909c,2156149
Rv1910c,Rv1910c,Rv1910c,2156706
lppC,lppC,Rv1911c,2157382
fadB5,fadB5,Rv1912c,2158087
Rv1913,Rv1913,Rv1913,2159191
Rv1914c,Rv1914c,Rv1914c,2159921
aceAa,aceAb // aceAa,Rv1915,2160463
aceAb,aceAb // aceAa,Rv1916,2161566
PPE34,PPE34,Rv1917c,2162932
PPE35,PPE35,Rv1918c,2167649
Rv1919c,Rv1919c,Rv1919c,2171061
Rv1920,Rv1920,Rv1920,2171623
lppF,lppF,Rv1921c,2172524
Rv1922,lipD // Rv1922,Rv1922,2174067
lipD,lipD // Rv1922,Rv1923,2175173
Rv1924c,Rv1924c,Rv1924c,2176550
fadD31,fadD31,Rv1925,2177087
mpt63,mpt63,Rv1926c,2178957
Rv1927,Rv1927,Rv1927,2179673
Rv1928c,Rv1928c,Rv1928c,2180450
Rv1929c,Rv1931c // Rv1930c // Rv1929c,Rv1929c,2181262
Rv1930c,Rv1931c // Rv1930c // Rv1929c,Rv1930c,2181918
Rv1931c,Rv1931c // Rv1930c // Rv1929c,Rv1931c,2182460
tpx,tpx,Rv1932,2183372
fadE18,echA13 // fadE17 // fadE18,Rv1933c,2183866
fadE17,echA13 // fadE17 // fadE18,Rv1934c,2184959
echA13,echA13 // fadE17 // fadE18,Rv1935c,2186203
Rv1936,Rv1941 // ribA1 // Rv1939 // ephB // Rv1937 // Rv1936,Rv1936,2187384
Rv1937,Rv1941 // ribA1 // Rv1939 // ephB // Rv1937 // Rv1936,Rv1937,2188496
ephB,Rv1941 // ribA1 // Rv1939 // ephB // Rv1937 // Rv1936,Rv1938,2191027
Rv1939,Rv1941 // ribA1 // Rv1939 // ephB // Rv1937 // Rv1936,Rv1939,2192094
ribA1,Rv1941 // ribA1 // Rv1939 // ephB // Rv1937 // Rv1936,Rv1940,2192606
Rv1941,Rv1941 // ribA1 // Rv1939 // ephB // Rv1937 // Rv1936,Rv1941,2193664
mazF5,Rv1944c // mazE5 // mazF5,Rv1942c,2194644
mazE5,Rv1944c // mazE5 // mazF5,Rv1943c,2194970
Rv1944c,Rv1944c // mazE5 // mazF5,Rv1944c,2195344
Rv1945,Rv1945,Rv1945,2195989
lppG,lppG,Rv1946c,2197508
Rv1947,Rv1947,Rv1947,2198024
Rv1948c,Rv1951c // Rv1950c // Rv1949c // Rv1948c,Rv1948c,2198714
Rv1949c,Rv1951c // Rv1950c // Rv1949c // Rv1948c,Rv1949c,2199075
Rv1950c,Rv1951c // Rv1950c // Rv1949c // Rv1948c,Rv1950c,2199998
Rv1951c,Rv1951c // Rv1950c // Rv1949c // Rv1948c,Rv1951c,2200190
vapB14,vapC14 // vapB14,Rv1952,2200726
vapC14,vapC14 // vapB14,Rv1953,2200938
Rv1954A,Rv1954A,Rv1954A,2201277
Rv1954c,Rv1954c,Rv1954c,2201223
higB,higB,Rv1955,2201719
higA,secBL // higA,Rv1956,2202138
secBL,secBL // higA,Rv1957,2202584
Rv1958c,Rv1958c,Rv1958c,2203018
parE1,parD1 // parE1,Rv1959c,2203681
parD1,parD1 // parE1,Rv1960c,2203974
Rv1961,Rv1961,Rv1961,2204212
vapB35,mce3R // vapB35 // vapC35,Rv1962A,2205277
vapC35,mce3R // vapB35 // vapC35,Rv1962c,2204866
mce3R,mce3R // vapB35 // vapC35,Rv1963c,2205582
yrbE3A,Rv1975 // Rv1974 // Rv1973 // Rv1972 // mce3F // lprM // mce3D // mce3C // mce3B // mce3A // yrbE3B // yrbE3A,Rv1964,2207700
yrbE3B,Rv1975 // Rv1974 // Rv1973 // Rv1972 // mce3F // lprM // mce3D // mce3C // mce3B // mce3A // yrbE3B // yrbE3A,Rv1965,2208507
mce3A,Rv1975 // Rv1974 // Rv1973 // Rv1972 // mce3F // lprM // mce3D // mce3C // mce3B // mce3A // yrbE3B // yrbE3A,Rv1966,2209327
mce3B,Rv1975 // Rv1974 // Rv1973 // Rv1972 // mce3F // lprM // mce3D // mce3C // mce3B // mce3A // yrbE3B // yrbE3A,Rv1967,2210601
mce3C,Rv1975 // Rv1974 // Rv1973 // Rv1972 // mce3F // lprM // mce3D // mce3C // mce3B // mce3A // yrbE3B // yrbE3A,Rv1968,2211626
mce3D,Rv1975 // Rv1974 // Rv1973 // Rv1972 // mce3F // lprM // mce3D // mce3C // mce3B // mce3A // yrbE3B // yrbE3A,Rv1969,2212855
lprM,Rv1975 // Rv1974 // Rv1973 // Rv1972 // mce3F // lprM // mce3D // mce3C // mce3B // mce3A // yrbE3B // yrbE3A,Rv1970,2214123
mce3F,Rv1975 // Rv1974 // Rv1973 // Rv1972 // mce3F // lprM // mce3D // mce3C // mce3B // mce3A // yrbE3B // yrbE3A,Rv1971,2215257
Rv1972,Rv1975 // Rv1974 // Rv1973 // Rv1972 // mce3F // lprM // mce3D // mce3C // mce3B // mce3A // yrbE3B // yrbE3A,Rv1972,2216592
Rv1973,Rv1975 // Rv1974 // Rv1973 // Rv1972 // mce3F // lprM // mce3D // mce3C // mce3B // mce3A // yrbE3B // yrbE3A,Rv1973,2217164
Rv1974,Rv1975 // Rv1974 // Rv1973 // Rv1972 // mce3F // lprM // mce3D // mce3C // mce3B // mce3A // yrbE3B // yrbE3A,Rv1974,2217659
Rv1975,Rv1975 // Rv1974 // Rv1973 // Rv1972 // mce3F // lprM // mce3D // mce3C // mce3B // mce3A // yrbE3B // yrbE3A,Rv1975,2218052
Rv1976c,Rv1976c,Rv1976c,2218844
Rv1977,Rv1977,Rv1977,2219754
Rv1978,Rv1978,Rv1978,2220908
Rv1979c,Rv1979c,Rv1979c,2221719
mpt64,mpt64,Rv1980c,2223343
nrdF1,nrdF1,Rv1981c,2224220
vapB36,vapB36 // vapC36,Rv1982A,2225841
vapC36,vapB36 // vapC36,Rv1982c,2225413
PE_PGRS35,PE_PGRS35,Rv1983,2226244
cfp21,cfp21,Rv1984c,2227908
Rv1985c,Rv1985c,Rv1985c,2228991
lysE,lysE,Rv1986,2230011
Rv1987,Rv1987,Rv1987,2231026
erm(37),erm(37),Rv1988,2231680
Rv1989c,Rv1990c // Rv1989c,Rv1989c,2232739
Rv1990A,Rv1990A,Rv1990A,2233881
Rv1990c,Rv1990c // Rv1989c,Rv1990c,2233296
mazE6,mazE6 // mazF6,Rv1991A,2234643
mazF6,mazE6 // mazF6,Rv1991c,2234305
ctpG,Rv1993c // ctpG,Rv1992c,2234991
Rv1993c,Rv1993c // ctpG,Rv1993c,2237303
cmtR,cmtR,Rv1994c,2237628
Rv1995,Rv1995,Rv1995,2238141
Rv1996,Rv1996,Rv1996,2239004
ctpF,ctpF,Rv1997,2240159
Rv1998c,Rv1998c,Rv1998c,2242945
Rv1999c,Rv1999c,Rv1999c,2243816
Rv2000,Rv2001 // Rv2000,Rv2000,2245209
Rv2001,Rv2001 // Rv2000,Rv2001,2246832
fabG3,fabG3,Rv2002,2247660
Rv2003c,Rv2003c,Rv2003c,2248563
Rv2004c,Rv2005c // Rv2004c,Rv2004c,2249478
Rv2005c,Rv2005c // Rv2004c,Rv2005c,2250996
otsB1,otsB1,Rv2006,2252002
fdxA,fdxA,Rv2007c,2256084
Rv2008c,Rv2008c,Rv2008c,2256617
vapB15,vapC15 // vapB15,Rv2009,2258030
vapC15,vapC15 // vapB15,Rv2010,2258273
Rv2011c,Rv2011c,Rv2011c,2258854
Rv2012,Rv2012,Rv2012,2259326
Rv2013,Rv2014 // Rv2013,Rv2013,2260665
Rv2014,Rv2014 // Rv2013,Rv2014,2261098
Rv2015c,Rv2015c,Rv2015c,2261816
Rv2016,Rv2017 // Rv2016,Rv2016,2263426
Rv2017,Rv2017 // Rv2016,Rv2017,2263998
Rv2018,Rv2019 // Rv2018,Rv2018,2265280
Rv2019,Rv2019 // Rv2018,Rv2019,2265989
Rv2020c,Rv2020c,Rv2020c,2266421
Rv2021c,Rv2023c // higB2 // Rv2021c,Rv2021c,2266805
higB2,Rv2023c // higB2 // Rv2021c,Rv2022c,2267119
Rv2023A,Rv2024c // Rv2023A,Rv2023A,2268268
Rv2023c,Rv2023c // higB2 // Rv2021c,Rv2023c,2267749
Rv2024c,Rv2024c // Rv2023A,Rv2024c,2268693
Rv2025c,Rv2025c,Rv2025c,2270750
Rv2026c,dosT // Rv2026c,Rv2026c,2271863
dosT,dosT // Rv2026c,Rv2027c,2272787
Rv2028c,hspX // Rv2030c // pfkB // Rv2028c,Rv2028c,2274569
pfkB,hspX // Rv2030c // pfkB // Rv2028c,Rv2029c,2275405
Rv2030c,hspX // Rv2030c // pfkB // Rv2028c,Rv2030c,2276441
hspX,hspX // Rv2030c // pfkB // Rv2028c,Rv2031c,2278498
acg,acg,Rv2032,2279129
Rv2033c,Rv2033c,Rv2033c,2280240
Rv2034,Rv2036 // Rv2035 // Rv2034,Rv2034,2281294
Rv2035,Rv2036 // Rv2035 // Rv2034,Rv2035,2281614
Rv2036,Rv2036 // Rv2035 // Rv2034,Rv2036,2282099
Rv2037c,Rv2044c // pncA // Rv2042c // Rv2041c // Rv2040c // Rv2039c // Rv2038c // Rv2037c,Rv2037c,2282747
Rv2038c,Rv2044c // pncA // Rv2042c // Rv2041c // Rv2040c // Rv2039c // Rv2038c // Rv2037c,Rv2038c,2283723
Rv2039c,Rv2044c // pncA // Rv2042c // Rv2041c // Rv2040c // Rv2039c // Rv2038c // Rv2037c,Rv2039c,2284799
Rv2040c,Rv2044c // pncA // Rv2042c // Rv2041c // Rv2040c // Rv2039c // Rv2038c // Rv2037c,Rv2040c,2285628
Rv2041c,Rv2044c // pncA // Rv2042c // Rv2041c // Rv2040c // Rv2039c // Rv2038c // Rv2037c,Rv2041c,2286527
Rv2042c,Rv2044c // pncA // Rv2042c // Rv2041c // Rv2040c // Rv2039c // Rv2038c // Rv2037c,Rv2042c,2287884
pncA,Rv2044c // pncA // Rv2042c // Rv2041c // Rv2040c // Rv2039c // Rv2038c // Rv2037c,Rv2043c,2288681
Rv2044c,Rv2044c // pncA // Rv2042c // Rv2041c // Rv2040c // Rv2039c // Rv2038c // Rv2037c,Rv2044c,2289282
lipT,lipT,Rv2045c,2289685
lppI,lppI,Rv2046,2291269
Rv2047c,pks12 // Rv2047c,Rv2047c,2291962
pks12,pks12 // Rv2047c,Rv2048c,2294531
Rv2049c,Rv2049c,Rv2049c,2307293
rbpA,rbpA,Rv2050,2307821
ppm1,ppm1,Rv2051c,2308131
Rv2052c,fxsA // Rv2052c,Rv2052c,2310913
fxsA,fxsA // Rv2052c,Rv2053c,2312522
Rv2054,Rv2054,Rv2054,2313125
rpsR2,rpmB2 // rpmG1 // rpsN2 // rpsR2,Rv2055c,2314087
rpsN2,rpmB2 // rpmG1 // rpsN2 // rpsR2,Rv2056c,2314354
rpmG1,rpmB2 // rpmG1 // rpsN2 // rpsR2,Rv2057c,2314661
rpmB2,rpmB2 // rpmG1 // rpsN2 // rpsR2,Rv2058c,2314825
Rv2059,Rv2059,Rv2059,2315174
Rv2060,Rv2060,Rv2060,2316279
Rv2061c,Rv2061c,Rv2061c,2316681
cobN,cobN,Rv2062c,2317169
mazE7,cobI // cobH // cobG // mazF7 // mazE7,Rv2063,2320831
mazF7,cobI // cobH // cobG // mazF7 // mazE7,Rv2063A,2321057
cobG,cobI // cobH // cobG // mazF7 // mazE7,Rv2064,2321451
cobH,cobI // cobH // cobG // mazF7 // mazE7,Rv2065,2322552
cobI,cobI // cobH // cobG // mazF7 // mazE7,Rv2066,2323175
Rv2067c,blaC // Rv2067c,Rv2067c,2324647
blaC,blaC // Rv2067c,Rv2068c,2325886
sigC,sigC,Rv2069,2326944
cobK,cobL // cobM // cobK,Rv2070c,2327491
cobM,cobL // cobM // cobK,Rv2071c,2328222
cobL,cobL // cobM // cobK,Rv2072c,2328974
Rv2073c,Rv2073c,Rv2073c,2330214
Rv2074,Rv2074,Rv2074,2330993
Rv2075c,Rv2075c,Rv2075c,2331416
Rv2076c,Rv2077A // Rv2077c // Rv2076c,Rv2076c,2333037
Rv2077A,Rv2077A // Rv2077c // Rv2076c,Rv2077A,2334295
Rv2077c,Rv2077A // Rv2077c // Rv2076c,Rv2077c,2333323
Rv2078,lppJ // Rv2079 // Rv2078,Rv2078,2335059
Rv2079,lppJ // Rv2079 // Rv2078,Rv2079,2335355
lppJ,lppJ // Rv2079 // Rv2078,Rv2080,2337306
Rv2081c,Rv2081c,Rv2081c,2338065
Rv2082,Rv2084 // Rv2083 // Rv2082,Rv2082,2338709
Rv2083,Rv2084 // Rv2083 // Rv2082,Rv2083,2340871
Rv2084,Rv2084 // Rv2083 // Rv2082,Rv2084,2341808
Rv2085,Rv2085,Rv2085,2343027
Rv2086,Rv2086,Rv2086,2343311
Rv2087,Rv2087,Rv2087,2343994
pknJ,pknJ,Rv2088,2344411
pepE,pepE,Rv2089c,2346197
Rv2090,Rv2090,Rv2090,2347373
Rv2091c,Rv2091c,Rv2091c,2348558
helY,helY,Rv2092c,2349334
tatC,tatA // tatC,Rv2093c,2352103
tatA,tatA // tatC,Rv2094c,2353046
pafC,pafA // pafB // pafC,Rv2095c,2353365
pafB,pafA // pafB // pafC,Rv2096c,2354312
pafA,pafA // pafB // pafC,Rv2097c,2355319
PE_PGRS36,PE21 // PE_PGRS36,Rv2098c,2356729
PE21,PE21 // PE_PGRS36,Rv2099c,2358033
Rv2100,Rv2100,Rv2100,2358389
helZ,helZ,Rv2101,2360240
Rv2102,Rv2102,Rv2102,2363391
vapC37,vapB37 // vapC37,Rv2103c,2364086
vapB37,vapB37 // vapC37,Rv2104c,2364527
Rv2105,Rv2106 // Rv2105,Rv2105,2365465
Rv2106,Rv2106 // Rv2105,Rv2106,2365740
PE22,PE22,Rv2107,2367359
PPE36,PPE36,Rv2108,2367711
prcA,pup // prcB // prcA,Rv2109c,2368983
prcB,pup // prcB // prcA,Rv2110c,2369726
pup,pup // prcB // prcA,Rv2111c,2370598
dop,dop,Rv2112c,2370905
Rv2113,Rv2114 // Rv2113,Rv2113,2372630
Rv2114,Rv2114 // Rv2113,Rv2114,2373834
mpa,mpa,Rv2115c,2374461
lppK,Rv2117 // lppK,Rv2116,2376571
Rv2117,Rv2117 // lppK,Rv2117,2377148
Rv2118c,Rv2118c,Rv2118c,2377470
Rv2119,Rv2119,Rv2119,2378386
Rv2120c,Rv2120c,Rv2120c,2379245
hisG,hisE // hisG,Rv2121c,2379806
hisE,hisE // hisG,Rv2122c,2380663
PPE37,PPE37,Rv2123,2381071
metH,metH,Rv2124c,2382489
Rv2125,Rv2125,Rv2125,2386293
PE_PGRS37,PE_PGRS37,Rv2126c,2387202
ansP1,Rv2128 // ansP1,Rv2127,2388616
Rv2128,Rv2128 // ansP1,Rv2128,2390085
Rv2129c,mshC // Rv2129c,Rv2129c,2390308
mshC,mshC // Rv2129c,Rv2130c,2391215
cysQ,cysQ,Rv2131c,2392517
Rv2132,Rv2132,Rv2132,2393411
Rv2133c,Rv2134c // Rv2133c,Rv2133c,2393851
Rv2134c,Rv2134c // Rv2133c,Rv2134c,2394650
Rv2135c,Rv2136c // Rv2135c,Rv2135c,2395301
Rv2136c,Rv2136c // Rv2135c,Rv2136c,2396008
Rv2137c,Rv2137c,Rv2137c,2396902
lppL,lppL,Rv2138,2397330
pyrD,pyrD,Rv2139,2398720
TB18.6,TB18.6,Rv2140c,2399798
Rv2141c,Rv2141c,Rv2141c,2400376
parD2,parD2 // parE2,Rv2142A,2402507
parE2,parD2 // parE2,Rv2142c,2402193
Rv2143,Rv2143,Rv2143,2402977
Rv2144c,Rv2144c,Rv2144c,2404165
wag31,wag31,Rv2145c,2404616
Rv2146c,Rv2146c,Rv2146c,2405666
sepF,ftsZ // Rv2149c // Rv2148c // sepF,Rv2147c,2406118
Rv2148c,ftsZ // Rv2149c // Rv2148c // sepF,Rv2148c,2406840
Rv2149c,ftsZ // Rv2149c // Rv2148c // sepF,Rv2149c,2407622
ftsZ,ftsZ // Rv2149c // Rv2148c // sepF,Rv2150c,2408385
ftsQ,Rv2159c // murE // murF // murX // murD // ftsW // murG // murC // ftsQ,Rv2151c,2409697
murC,Rv2159c // murE // murF // murX // murD // ftsW // murG // murC // ftsQ,Rv2152c,2410638
murG,Rv2159c // murE // murF // murX // murD // ftsW // murG // murC // ftsQ,Rv2153c,2412119
ftsW,Rv2159c // murE // murF // murX // murD // ftsW // murG // murC // ftsQ,Rv2154c,2413348
murD,Rv2159c // murE // murF // murX // murD // ftsW // murG // murC // ftsQ,Rv2155c,2414934
murX,Rv2159c // murE // murF // murX // murD // ftsW // murG // murC // ftsQ,Rv2156c,2416396
murF,Rv2159c // murE // murF // murX // murD // ftsW // murG // murC // ftsQ,Rv2157c,2417472
murE,Rv2159c // murE // murF // murX // murD // ftsW // murG // murC // ftsQ,Rv2158c,2419001
Rv2159c,Rv2159c // murE // murF // murX // murD // ftsW // murG // murC // ftsQ,Rv2159c,2420631
Rv2160A,Rv2160A,Rv2160A,2421643
Rv2160c,Rv2160c,Rv2160c,2421662
Rv2161c,Rv2161c,Rv2161c,2422271
PE_PGRS38,PE_PGRS38,Rv2162c,2423240
pbpB,mraZ // rsmH // Rv2164c // pbpB,Rv2163c,2425048
Rv2164c,mraZ // rsmH // Rv2164c // pbpB,Rv2164c,2427084
rsmH,mraZ // rsmH // Rv2164c // pbpB,Rv2165c,2428235
mraZ,mraZ // rsmH // Rv2164c // pbpB,Rv2166c,2429427
Rv2167c,Rv2168c // Rv2167c,Rv2167c,2430159
Rv2168c,Rv2168c // Rv2167c,Rv2168c,2431094
Rv2169c,Rv2169c,Rv2169c,2431565
Rv2170,Rv2170,Rv2170,2432235
lppM,lppM,Rv2171,2432951
Rv2172c,Rv2172c,Rv2172c,2433631
idsA2,mptA // idsA2,Rv2173,2434847
mptA,mptA // idsA2,Rv2174,2435909
Rv2175c,mcr5 // Rv2175c,Rv2175c,2437446
pknL,pknL,Rv2176,2437941
Rv2177c,Rv2177c,Rv2177c,2439282
aroG,aroG,Rv2178c,2440332
Rv2179c,Rv2180c // Rv2179c,Rv2179c,2441811
Rv2180c,Rv2180c // Rv2179c,Rv2180c,2442327
Rv2181,Rv2181,Rv2181,2443302
Rv2182c,Rv2182c,Rv2182c,2444586
Rv2183c,Rv2184c // Rv2183c,Rv2183c,2445415
Rv2184c,Rv2184c // Rv2183c,Rv2184c,2445807
TB16.3,TB16.3,Rv2185c,2447066
Rv2186c,Rv2186c,Rv2186c,2447605
fadD15,fadD15,Rv2187,2448160
pimB,pimB,Rv2188c,2449993
Rv2189c,Rv2189c,Rv2189c,2451247
Rv2190c,Rv2190c,Rv2190c,2452115
Rv2191,Rv2191,Rv2191,2453819
trpD,trpD,Rv2192c,2455631
ctaE,qcrB // qcrA // qcrC // ctaE,Rv2193,2456901
qcrC,qcrB // qcrA // qcrC // ctaE,Rv2194,2457553
qcrA,qcrB // qcrA // qcrC // ctaE,Rv2195,2458392
qcrB,qcrB // qcrA // qcrC // ctaE,Rv2196,2459678
Rv2197c,mmpS3 // Rv2197c,Rv2197c,2461504
mmpS3,mmpS3 // Rv2197c,Rv2198c,2462148
Rv2199c,ctaC // Rv2199c,Rv2199c,2463233
ctaC,ctaC // Rv2199c,Rv2200c,2463660
asnB,asnB,Rv2201,2464997
adoK,adoK,Rv2202c,2467053
Rv2203,Rv2203,Rv2203,2468231
Rv2204c,Rv2204c,Rv2204c,2468931
Rv2205c,Rv2205c,Rv2205c,2469387
Rv2206,Rv2206,Rv2206,2470622
cobT,cobS // cobT,Rv2207,2471411
cobS,cobS // cobT,Rv2208,2472493
Rv2209,Rv2209,Rv2209,2473400
ilvE,ilvE,Rv2210c,2474864
gcvT,gcvT,Rv2211c,2476042
Rv2212,pepB // Rv2212,Rv2212,2477190
pepB,pepB // Rv2212,Rv2213,2478338
ephD,ephD,Rv2214c,2479923
dlaT,Rv2216 // dlaT,Rv2215,2481965
Rv2216,Rv2216 // dlaT,Rv2216,2483626
lipB,Rv2219 // lipA // lipB,Rv2217,2484584
lipA,Rv2219 // lipA // lipB,Rv2218,2485273
Rv2219,Rv2219 // lipA // lipB,Rv2219,2486235
Rv2219A,Rv2219A,Rv2219A,2486994
glnA1,glnA1,Rv2220,2487615
glnE,glnE,Rv2221c,2489369
glnA2,glnA2,Rv2222c,2492402
Rv2223c,Rv2223c,Rv2223c,2493837
caeA,caeA,Rv2224c,2495461
panB,panB,Rv2225,2497742
Rv2226,Rv2226,Rv2226,2498832
Rv2227,Rv2227,Rv2227,2500931
Rv2228c,vapC16 // cobC // Rv2230c // Rv2229c // Rv2228c,Rv2228c,2501644
Rv2229c,vapC16 // cobC // Rv2230c // Rv2229c // Rv2228c,Rv2229c,2502735
Rv2230c,vapC16 // cobC // Rv2230c // Rv2229c // Rv2228c,Rv2230c,2503469
vapC16,vapC16 // cobC // Rv2230c // Rv2229c // Rv2228c,Rv2231A,2505736
vapB16,vapB16,Rv2231B,2506207
cobC,vapC16 // cobC // Rv2230c // Rv2229c // Rv2228c,Rv2231c,2504605
ptkA,Rv2235 // ptpA // ptkA,Rv2232,2506278
ptpA,Rv2235 // ptpA // ptkA,Rv2234,2507146
Rv2235,Rv2235 // ptpA // ptkA,Rv2235,2507637
cobD,cobD,Rv2236c,2508434
Rv2237,Rv2237,Rv2237,2509489
Rv2237A,valV // Rv2237A,Rv2237A,2510351
ahpE,Rv2240c // Rv2239c // ahpE,Rv2238c,2510715
Rv2239c,Rv2240c // Rv2239c // ahpE,Rv2239c,2511176
Rv2240c,Rv2240c // Rv2239c // ahpE,Rv2240c,2511690
aceE,aceE,Rv2241,2512539
Rv2242,Rv2242,Rv2242,2515304
fabD,fabD,Rv2243,2516787
acpM,accD6 // kasB // kasA // acpM,Rv2244,2517771
kasA,accD6 // kasB // kasA // acpM,Rv2245,2518115
kasB,accD6 // kasB // kasA // acpM,Rv2246,2519396
accD6,accD6 // kasB // kasA // acpM,Rv2247,2520743
Rv2248,Rv2248,Rv2248,2522360
glpD1,Rv2250c // glpD1,Rv2249c,2523241
Rv2250A,Rv2250A,Rv2250A,2525402
Rv2250c,Rv2250c // glpD1,Rv2250c,2524785
Rv2251,Rv2252 // Rv2251,Rv2251,2525565
Rv2252,Rv2252 // Rv2251,Rv2252,2526989
Rv2253,Rv2253,Rv2253,2527984
Rv2254c,Rv2255c // Rv2254c,Rv2254c,2528520
Rv2255c,Rv2255c // Rv2254c,Rv2255c,2528980
Rv2256c,Rv2256c,Rv2256c,2529341
Rv2257c,Rv2258c // Rv2257c,Rv2257c,2530004
Rv2258c,Rv2258c // Rv2257c,Rv2258c,2530836
mscR,Rv2260 // mscR,Rv2259,2532245
Rv2260,Rv2260 // mscR,Rv2260,2533330
Rv2261c,Rv2262c // Rv2261c,Rv2261c,2534042
Rv2262c,Rv2262c // Rv2261c,Rv2262c,2534470
Rv2263,Rv2263,Rv2263,2535641
Rv2264c,Rv2264c,Rv2264c,2536572
Rv2265,Rv2265,Rv2265,2538700
cyp124,cyp124,Rv2266,2540104
Rv2267c,Rv2269c // cyp128 // Rv2267c,Rv2267c,2541644
cyp128,Rv2269c // cyp128 // Rv2267c,Rv2268c,2542807
Rv2269c,Rv2269c // cyp128 // Rv2267c,Rv2269c,2544289
lppN,lppN,Rv2270,2544698
Rv2271,Rv2271,Rv2271,2545332
Rv2272,Rv2273 // Rv2272,Rv2272,2545737
Rv2273,Rv2273 // Rv2272,Rv2273,2546102
mazE8,mazE8 // mazF8,Rv2274A,2546839
mazF8,mazE8 // mazF8,Rv2274c,2546488
Rv2275,cyp121 // Rv2275,Rv2275,2546883
cyp121,cyp121 // Rv2275,Rv2276,2547749
Rv2277c,Rv2277c,Rv2277c,2549124
Rv2278,Rv2279 // Rv2278,Rv2278,2550065
Rv2279,Rv2279 // Rv2278,Rv2279,2550340
Rv2280,Rv2280,Rv2280,2551560
pitB,pitB,Rv2281,2553173
Rv2282c,Rv2282c,Rv2282c,2554938
Rv2283,Rv2285 // lipM // Rv2283,Rv2283,2555941
lipM,Rv2285 // lipM // Rv2283,Rv2284,2556145
Rv2285,Rv2285 // lipM // Rv2283,Rv2285,2557473
Rv2286c,Rv2286c,Rv2286c,2558877
yjcE,cdh // Rv2288 // yjcE,Rv2287,2559703
Rv2288,cdh // Rv2288 // yjcE,Rv2288,2561328
cdh,cdh // Rv2288 // yjcE,Rv2289,2561675
lppO,lppO,Rv2290,2562599
sseB,sseB,Rv2291,2563174
Rv2292c,Rv2293c // Rv2292c,Rv2292c,2564029
Rv2293c,Rv2293c // Rv2292c,Rv2293c,2564292
Rv2294,Rv2294,Rv2294,2565327
Rv2295,Rv2295,Rv2295,2566772
Rv2296,Rv2297 // Rv2296,Rv2296,2567504
Rv2297,Rv2297 // Rv2296,Rv2297,2568438
Rv2298,Rv2298,Rv2298,2569082
htpG,htpG,Rv2299c,2570059
Rv2300c,Rv2300c,Rv2300c,2572076
cut2,cut2,Rv2301,2573015
Rv2302,Rv2302,Rv2302,2573813
Rv2303c,Rv2304c // Rv2303c,Rv2303c,2574096
Rv2304c,Rv2304c // Rv2303c,Rv2304c,2575016
Rv2305,Rv2306A // Rv2305,Rv2305,2575809
Rv2306A,Rv2306A // Rv2305,Rv2306A,2577108
Rv2306B,Rv2306B,Rv2306B,2577488
Rv2307A,Rv2307A,Rv2307A,2579228
Rv2307B,Rv2307B,Rv2307B,2579504
Rv2307c,Rv2307c,Rv2307c,2577851
Rv2307D,Rv2307D,Rv2307D,2580028
Rv2308,Rv2308,Rv2308,2580419
Rv2309A,Rv2309A,Rv2309A,2583045
Rv2309c,Rv2309c // metV,Rv2309c,2581843
Rv2310,Rv2310,Rv2310,2583435
Rv2311,Rv2311,Rv2311,2583884
Rv2312,Rv2312,Rv2312,2584486
Rv2313c,Rv2315c // Rv2314c // Rv2313c,Rv2313c,2585052
Rv2314c,Rv2315c // Rv2314c // Rv2313c,Rv2314c,2585917
Rv2315c,Rv2315c // Rv2314c // Rv2313c,Rv2315c,2587287
uspA,uspC // uspB // uspA,Rv2316,2588838
uspB,uspC // uspB // uspA,Rv2317,2589697
uspC,uspC // uspB // uspA,Rv2318,2590518
Rv2319c,Rv2323c // rocD1 // rocD2 // rocE // Rv2319c,Rv2319c,2591848
rocE,Rv2323c // rocD1 // rocD2 // rocE // Rv2319c,Rv2320c,2592723
rocD2,Rv2323c // rocD1 // rocD2 // rocE // Rv2319c,Rv2321c,2594154
rocD1,Rv2323c // rocD1 // rocD2 // rocE // Rv2319c,Rv2322c,2594699
Rv2323c,Rv2323c // rocD1 // rocD2 // rocE // Rv2319c,Rv2323c,2595361
Rv2324,Rv2324,Rv2324,2596334
Rv2325c,Rv2326c // Rv2325c,Rv2325c,2597009
